Time_s,Pressure,LowLimit,HighLimit,Motor1,Motor2,Cycle
4.062,62,62,142,215,215,0
4.117,64,62,142,215,215,0
4.172,62,62,142,215,215,0
4.228,62,62,142,215,215,0
4.282,61,62,142,215,215,0
4.337,62,62,142,215,215,0
4.392,62,62,142,215,215,0
4.448,62,62,142,215,215,0
4.503,62,62,142,215,215,0
4.558,63,62,142,215,215,0
4.613,61,62,142,215,215,0
4.668,62,62,142,215,215,0
4.723,61,62,142,215,215,0
4.779,62,62,142,215,215,0
4.834,64,62,142,215,215,0
4.889,63,62,142,215,215,0
4.944,65,62,142,215,215,0
4.999,66,62,142,215,215,0
5.054,68,62,142,215,215,0
5.109,69,62,142,215,215,0
5.165,71,62,142,215,215,0
5.22,72,62,142,215,215,0
5.275,74,62,142,215,215,0
5.33,77,62,142,215,215,0
5.385,79,62,142,215,215,0
5.44,81,62,142,215,215,0
5.495,83,62,142,215,215,0
5.551,84,62,142,215,215,0
5.606,86,62,142,215,215,0
5.661,88,62,142,215,215,0
5.716,91,62,142,215,215,0
5.771,92,62,142,215,215,0
5.826,93,62,142,215,215,0
5.881,96,62,142,215,215,0
5.937,99,62,142,215,215,0
5.992,102,62,142,215,215,0
6.047,104,62,142,215,215,0
6.103,107,62,142,215,215,0
6.158,111,62,142,215,215,0
6.212,113,62,142,215,215,0
6.267,116,62,142,215,215,0
6.317,119,62,142,215,215,0
6.371,120,62,142,215,215,0
6.426,123,62,142,215,215,0
6.481,127,62,142,215,215,0
6.531,128,62,142,215,215,0
6.585,130,62,142,215,215,0
6.64,131,62,142,215,215,0
6.695,133,62,142,215,215,0
6.751,136,62,142,215,215,0
6.806,139,62,142,215,215,0
6.861,139,62,142,215,215,0
6.917,141,62,142,215,215,0
6.972,140,62,142,-215,-215,0
7.027,134,62,142,-215,-215,0
7.083,126,62,142,-215,-215,0
7.131,119,62,142,-215,-215,0
7.186,113,62,142,-215,-215,0
7.241,106,62,142,-215,-215,0
7.297,102,62,142,-215,-215,0
7.351,99,62,142,-215,-215,0
7.406,94,62,142,-215,-215,0
7.461,92,62,142,-215,-215,0
7.517,89,62,142,-215,-215,0
7.572,86,62,142,-215,-215,0
7.627,85,62,142,-215,-215,0
7.683,81,62,142,-215,-215,0
7.737,79,62,142,-215,-215,0
7.792,79,62,142,-215,-215,0
7.847,78,62,142,-215,-215,0
7.903,79,62,142,-215,-215,0
7.958,77,62,142,-215,-215,0
8.013,75,62,142,-215,-215,0
8.069,75,62,142,-215,-215,0
8.123,72,62,142,-215,-215,0
8.178,70,62,142,-215,-215,0
8.233,70,62,142,-215,-215,0
8.289,68,62,142,-215,-215,0
8.344,67,62,142,-215,-215,0
8.399,67,62,142,-215,-215,0
8.455,65,62,142,-215,-215,0
8.509,65,62,142,-215,-215,0
8.564,64,62,142,-215,-215,0
8.62,63,62,142,215,215,1
8.675,63,62,142,215,215,1
8.73,64,62,142,215,215,1
8.785,64,62,142,215,215,1
8.841,63,62,142,215,215,1
8.896,62,62,142,215,215,1
8.95,63,62,142,215,215,1
9.006,63,62,142,215,215,1
9.061,64,62,142,215,215,1
9.116,64,62,142,215,215,1
9.171,66,62,142,215,215,1
9.227,65,62,142,215,215,1
9.282,68,62,142,215,215,1
9.336,67,62,142,215,215,1
9.392,70,62,142,215,215,1
9.447,70,62,142,215,215,1
9.502,75,62,142,215,215,1
9.558,75,62,142,215,215,1
9.613,76,62,142,215,215,1
9.667,78,62,142,215,215,1
9.722,80,62,142,215,215,1
9.772,83,62,142,215,215,1
9.826,85,62,142,215,215,1
9.881,86,62,142,215,215,1
9.936,91,62,142,215,215,1
9.992,93,62,142,215,215,1
10.047,95,62,142,215,215,1
10.102,97,62,142,215,215,1
10.158,97,62,142,215,215,1
10.212,102,62,142,215,215,1
10.267,103,62,142,215,215,1
10.322,107,62,142,215,215,1
10.372,109,62,142,215,215,1
10.427,113,62,142,215,215,1
10.482,117,62,142,215,215,1
10.536,118,62,142,215,215,1
10.586,122,62,142,215,215,1
10.641,124,62,142,215,215,1
10.696,126,62,142,215,215,1
10.752,128,62,142,215,215,1
10.807,129,62,142,215,215,1
10.861,132,62,142,215,215,1
10.916,133,62,142,215,215,1
10.966,136,62,142,215,215,1
11.021,138,62,142,215,215,1
11.076,138,62,142,215,215,1
11.131,140,62,142,-215,-215,1
11.187,136,62,142,-215,-215,1
11.241,130,62,142,-215,-215,1
11.296,122,62,142,-215,-215,1
11.352,116,62,142,-215,-215,1
11.407,110,62,142,-215,-215,1
11.462,106,62,142,-215,-215,1
11.517,100,62,142,-215,-215,1
11.567,96,62,142,-215,-215,1
11.621,94,62,142,-215,-215,1
11.676,90,62,142,-215,-215,1
11.731,87,62,142,-215,-215,1
11.781,85,62,142,-215,-215,1
11.836,85,62,142,-215,-215,1
11.89,81,62,142,-215,-215,1
11.945,81,62,142,-215,-215,1
11.995,80,62,142,-215,-215,1
12.05,78,62,142,-215,-215,1
12.104,76,62,142,-215,-215,1
12.16,77,62,142,-215,-215,1
12.215,75,62,142,-215,-215,1
12.27,73,62,142,-215,-215,1
12.325,71,62,142,-215,-215,1
12.381,72,62,142,-215,-215,1
12.436,71,62,142,-215,-215,1
12.491,68,62,142,-215,-215,1
12.547,67,62,142,-215,-215,1
12.602,65,62,142,-215,-215,1
12.656,64,62,142,-215,-215,1
12.711,65,62,142,-215,-215,1
12.761,66,62,142,-215,-215,1
12.816,65,62,142,-215,-215,1
12.87,63,62,142,-215,-215,1
12.925,62,62,142,215,215,2
12.975,62,62,142,215,215,2
13.03,63,62,142,215,215,2
13.084,63,62,142,215,215,2
13.139,61,62,142,215,215,2
13.189,61,62,142,215,215,2
13.243,61,62,142,215,215,2
13.298,61,62,142,215,215,2
13.353,62,62,142,215,215,2
13.403,62,62,142,215,215,3
13.457,61,62,142,215,215,3
13.512,62,62,142,215,215,3
13.568,64,62,142,215,215,3
13.623,66,62,142,215,215,3
13.678,67,62,142,215,215,3
13.733,68,62,142,215,215,3
13.789,68,62,142,215,215,3
13.844,70,62,142,215,215,3
13.899,73,62,142,215,215,3
13.954,74,62,142,215,215,3
14.009,76,62,142,215,215,3
14.064,78,62,142,215,215,3
14.119,80,62,142,215,215,3
14.175,81,62,142,215,215,3
14.23,83,62,142,215,215,3
14.285,84,62,142,215,215,3
14.341,85,62,142,215,215,3
14.396,89,62,142,215,215,3
14.451,92,62,142,215,215,3
14.505,94,62,142,215,215,3
14.555,95,62,142,215,215,3
14.61,98,62,142,215,215,3
14.664,100,62,142,215,215,3
14.72,105,62,142,215,215,3
14.775,108,62,142,215,215,3
14.83,110,62,142,215,215,3
14.885,113,62,142,215,215,3
14.935,113,62,142,215,215,3
14.989,117,62,142,215,215,3
15.044,120,62,142,215,215,3
15.099,123,62,142,215,215,3
15.149,124,62,142,215,215,3
15.204,127,62,142,215,215,3
15.259,129,62,142,215,215,3
15.313,130,62,142,215,215,3
15.363,132,62,142,215,215,3
15.418,134,62,142,215,215,3
15.473,135,62,142,215,215,3
15.528,136,62,142,215,215,3
15.584,139,62,142,215,215,3
15.638,141,62,142,215,215,3
15.693,139,62,142,-215,-215,3
15.749,130,62,142,-215,-215,3
15.804,125,62,142,-215,-215,3
15.859,116,62,142,-215,-215,3
15.915,111,62,142,-215,-215,3
15.97,105,62,142,-215,-215,3
16.025,101,62,142,-215,-215,3
16.08,98,62,142,-215,-215,3
16.136,94,62,142,-215,-215,3
16.191,91,62,142,-215,-215,3
16.246,88,62,142,-215,-215,3
