Time_s,Pressure,LowLimit,HighLimit,Motor1,Motor2,Cycle
4.062,68,66,146,225,225,0
4.117,67,66,146,225,225,0
4.172,69,66,146,225,225,0
4.228,69,66,146,225,225,0
4.282,68,66,146,225,225,0
4.337,70,66,146,225,225,0
4.392,69,66,146,225,225,0
4.448,72,66,146,225,225,0
4.503,72,66,146,225,225,0
4.558,72,66,146,225,225,0
4.613,76,66,146,225,225,0
4.668,77,66,146,225,225,0
4.723,78,66,146,225,225,0
4.779,80,66,146,225,225,0
4.834,83,66,146,225,225,0
4.889,83,66,146,225,225,0
4.944,87,66,146,225,225,0
4.999,88,66,146,225,225,0
5.054,92,66,146,225,225,0
5.109,92,66,146,225,225,0
5.165,96,66,146,225,225,0
5.22,97,66,146,225,225,0
5.275,103,66,146,225,225,0
5.33,105,66,146,225,225,0
5.386,106,66,146,225,225,0
5.44,109,66,146,225,225,0
5.495,113,66,146,225,225,0
5.551,117,66,146,225,225,0
5.606,117,66,146,225,225,0
5.661,121,66,146,225,225,0
5.716,123,66,146,225,225,0
5.772,125,66,146,225,225,0
5.827,126,66,146,225,225,0
5.882,129,66,146,225,225,0
5.937,133,66,146,225,225,0
5.992,135,66,146,225,225,0
6.047,134,66,146,225,225,0
6.103,140,66,146,225,225,0
6.158,139,66,146,225,225,0
6.213,141,66,146,225,225,0
6.268,144,66,146,225,225,0
6.324,141,66,146,225,225,0
6.379,144,66,146,225,225,0
6.433,145,66,146,-225,-225,0
6.489,140,66,146,-225,-225,0
6.544,133,66,146,-225,-225,0
6.599,124,66,146,-225,-225,0
6.654,118,66,146,-225,-225,0
6.71,112,66,146,-225,-225,0
6.765,107,66,146,-225,-225,0
6.82,103,66,146,-225,-225,0
6.876,99,66,146,-225,-225,0
6.931,96,66,146,-225,-225,0
6.985,94,66,146,-225,-225,0
7.041,90,66,146,-225,-225,0
7.096,88,66,146,-225,-225,0
7.151,87,66,146,-225,-225,0
7.206,82,66,146,-225,-225,0
7.262,84,66,146,-225,-225,0
7.317,83,66,146,-225,-225,0
7.371,79,66,146,-225,-225,0
7.427,81,66,146,-225,-225,0
7.482,80,66,146,-225,-225,0
7.537,76,66,146,-225,-225,0
7.592,77,66,146,-225,-225,0
7.648,75,66,146,-225,-225,0
7.703,72,66,146,-225,-225,0
7.757,72,66,146,-225,-225,0
7.813,70,66,146,-225,-225,0
7.868,68,66,146,225,225,1
7.923,66,66,146,225,225,1
7.979,68,66,146,225,225,1
8.034,67,66,146,225,225,1
8.089,68,66,146,225,225,1
8.143,66,66,146,225,225,1
8.193,68,66,146,225,225,1
8.248,66,66,146,225,225,1
8.302,69,66,146,225,225,1
8.357,71,66,146,225,225,1
8.413,70,66,146,225,225,1
8.468,73,66,146,225,225,1
8.523,75,66,146,225,225,1
8.579,75,66,146,225,225,1
8.634,78,66,146,225,225,1
8.688,81,66,146,225,225,1
8.743,79,66,146,225,225,1
8.799,86,66,146,225,225,1
8.854,85,66,146,225,225,1
8.909,88,66,146,225,225,1
8.965,92,66,146,225,225,1
9.02,92,66,146,225,225,1
9.074,97,66,146,225,225,1
9.129,98,66,146,225,225,1
9.185,101,66,146,225,225,1
9.24,106,66,146,225,225,1
9.295,109,66,146,225,225,1
9.351,111,66,146,225,225,1
9.406,112,66,146,225,225,1
9.461,114,66,146,225,225,1
9.516,117,66,146,225,225,1
9.571,121,66,146,225,225,1
9.626,125,66,146,225,225,1
9.681,128,66,146,225,225,1
9.737,131,66,146,225,225,1
9.792,132,66,146,225,225,1
9.847,133,66,146,225,225,1
9.903,135,66,146,225,225,1
9.958,136,66,146,225,225,1
10.012,140,66,146,225,225,1
10.067,141,66,146,225,225,1
10.117,144,66,146,225,225,1
10.172,143,66,146,225,225,1
10.227,142,66,146,225,225,1
10.283,147,66,146,-225,-225,1
10.337,142,66,146,-225,-225,1
10.392,132,66,146,-225,-225,1
10.447,126,66,146,-225,-225,1
10.497,121,66,146,-225,-225,1
10.552,114,66,146,-225,-225,1
10.607,108,66,146,-225,-225,1
10.662,105,66,146,-225,-225,1
10.718,100,66,146,-225,-225,1
10.772,96,66,146,-225,-225,1
10.827,94,66,146,-225,-225,1
10.883,91,66,146,-225,-225,1
10.938,88,66,146,-225,-225,1
10.993,87,66,146,-225,-225,1
11.048,85,66,146,-225,-225,1
11.104,84,66,146,-225,-225,1
11.159,83,66,146,-225,-225,1
11.214,83,66,146,-225,-225,1
11.27,81,66,146,-225,-225,1
11.325,79,66,146,-225,-225,1
11.379,79,66,146,-225,-225,1
11.435,77,66,146,-225,-225,1
11.49,74,66,146,-225,-225,1
11.545,73,66,146,-225,-225,1
