Time_s,Pressure,LowLimit,HighLimit,Motor1,Motor2,Cycle
4.062,66,65,145,255,255,0
4.117,65,65,145,255,255,0
4.172,67,65,145,255,255,0
4.228,67,65,145,255,255,0
4.282,66,65,145,255,255,0
4.337,66,65,145,255,255,0
4.392,68,65,145,255,255,0
4.448,69,65,145,255,255,0
4.503,71,65,145,255,255,0
4.558,71,65,145,255,255,0
4.613,72,65,145,255,255,0
4.668,75,65,145,255,255,0
4.723,78,65,145,255,255,0
4.779,80,65,145,255,255,0
4.834,82,65,145,255,255,0
4.889,87,65,145,255,255,0
4.944,89,65,145,255,255,0
4.999,92,65,145,255,255,0
5.054,95,65,145,255,255,0
5.109,98,65,145,255,255,0
5.165,101,65,145,255,255,0
5.22,104,65,145,255,255,0
5.275,106,65,145,255,255,0
5.33,111,65,145,255,255,0
5.386,115,65,145,255,255,0
5.44,118,65,145,255,255,0
5.495,120,65,145,255,255,0
5.551,125,65,145,255,255,0
5.606,129,65,145,255,255,0
5.661,131,65,145,255,255,0
5.716,135,65,145,255,255,0
5.772,140,65,145,255,255,0
5.827,142,65,145,255,255,0
5.882,146,65,145,-255,-255,0
5.938,140,65,145,-255,-255,0
5.992,133,65,145,-255,-255,0
6.047,126,65,145,-255,-255,0
6.103,117,65,145,-255,-255,0
6.158,110,65,145,-255,-255,0
6.213,104,65,145,-255,-255,0
6.268,99,65,145,-255,-255,0
6.324,97,65,145,-255,-255,0
6.379,93,65,145,-255,-255,0
6.434,92,65,145,-255,-255,0
6.489,88,65,145,-255,-255,0
6.544,86,65,145,-255,-255,0
6.599,86,65,145,-255,-255,0
6.654,82,65,145,-255,-255,0
6.71,81,65,145,-255,-255,0
6.765,81,65,145,-255,-255,0
6.82,80,65,145,-255,-255,0
6.875,79,65,145,-255,-255,0
6.93,76,65,145,-255,-255,0
6.985,76,65,145,-255,-255,0
7.041,74,65,145,-255,-255,0
7.096,71,65,145,-255,-255,0
7.151,70,65,145,-255,-255,0
7.206,68,65,145,-255,-255,0
7.261,67,65,145,-255,-255,0
7.316,67,65,145,-255,-255,0
7.371,65,65,145,255,255,1
7.427,66,65,145,255,255,1
7.482,65,65,145,255,255,1
7.537,66,65,145,255,255,1
7.592,66,65,145,255,255,1
7.648,66,65,145,255,255,1
7.702,66,65,145,255,255,1
7.757,66,65,145,255,255,1
7.813,67,65,145,255,255,1
7.868,67,65,145,255,255,1
7.923,69,65,145,255,255,1
7.979,69,65,145,255,255,1
8.033,71,65,145,255,255,1
8.088,71,65,145,255,255,1
8.143,72,65,145,255,255,1
8.199,74,65,145,255,255,1
8.254,77,65,145,255,255,1
8.309,81,65,145,255,255,1
8.365,82,65,145,255,255,1
8.419,85,65,145,255,255,1
8.474,88,65,145,255,255,1
8.529,90,65,145,255,255,1
8.585,94,65,145,255,255,1
8.64,97,65,145,255,255,1
8.695,101,65,145,255,255,1
8.751,104,65,145,255,255,1
8.806,109,65,145,255,255,1
8.86,111,65,145,255,255,1
8.915,115,65,145,255,255,1
8.965,120,65,145,255,255,1
9.019,121,65,145,255,255,1
9.074,126,65,145,255,255,1
9.129,130,65,145,255,255,1
9.179,132,65,145,255,255,1
9.233,138,65,145,255,255,1
9.288,141,65,145,255,255,1
9.344,143,65,145,255,255,1
9.399,143,65,145,-255,-255,1
9.454,133,65,145,-255,-255,1
9.509,125,65,145,-255,-255,1
9.565,118,65,145,-255,-255,1
9.62,110,65,145,-255,-255,1
9.675,106,65,145,-255,-255,1
9.731,101,65,145,-255,-255,1
