Time_s,Pressure,LowLimit,HighLimit,Motor1,Motor2,Cycle
4.062,66,65,145,235,235,0
4.117,67,65,145,235,235,0
4.172,67,65,145,235,235,0
4.228,66,65,145,235,235,0
4.282,66,65,145,235,235,0
4.337,65,65,145,235,235,0
4.392,68,65,145,235,235,0
4.448,64,65,145,235,235,0
4.503,65,65,145,235,235,1
4.558,68,65,145,235,235,1
4.614,65,65,145,235,235,1
4.668,68,65,145,235,235,1
4.723,65,65,145,235,235,1
4.779,68,65,145,235,235,1
4.834,68,65,145,235,235,1
4.889,69,65,145,235,235,1
4.944,73,65,145,235,235,1
5,72,65,145,235,235,1
5.054,75,65,145,235,235,1
5.109,76,65,145,235,235,1
5.165,79,65,145,235,235,1
5.22,82,65,145,235,235,1
5.275,82,65,145,235,235,1
5.33,86,65,145,235,235,1
5.386,88,65,145,235,235,1
5.44,89,65,145,235,235,1
5.495,93,65,145,235,235,1
5.551,96,65,145,235,235,1
5.606,98,65,145,235,235,1
5.661,102,65,145,235,235,1
5.716,103,65,145,235,235,1
5.772,107,65,145,235,235,1
5.826,110,65,145,235,235,1
5.881,110,65,145,235,235,1
5.931,115,65,145,235,235,1
5.986,118,65,145,235,235,1
6.04,117,65,145,235,235,1
6.095,125,65,145,235,235,1
6.145,124,65,145,235,235,1
6.2,127,65,145,235,235,1
6.254,131,65,145,235,235,1
6.309,130,65,145,235,235,1
6.359,133,65,145,235,235,1
6.413,135,65,145,235,235,1
6.468,137,65,145,235,235,1
6.523,140,65,145,235,235,1
6.573,139,65,145,235,235,1
6.627,144,65,145,235,235,1
6.682,142,65,145,235,235,1
6.737,141,65,145,-235,-235,1
6.787,133,65,145,-235,-235,1
6.841,127,65,145,-235,-235,1
6.896,118,65,145,-235,-235,1
6.951,112,65,145,-235,-235,1
7.001,106,65,145,-235,-235,1
7.055,101,65,145,-235,-235,1
7.11,98,65,145,-235,-235,1
7.165,93,65,145,-235,-235,1
7.215,92,65,145,-235,-235,1
7.269,89,65,145,-235,-235,1
7.324,86,65,145,-235,-235,1
7.379,85,65,145,-235,-235,1
7.435,85,65,145,-235,-235,1
7.49,85,65,145,-235,-235,1
7.545,81,65,145,-235,-235,1
7.601,81,65,145,-235,-235,1
7.655,81,65,145,-235,-235,1
7.71,78,65,145,-235,-235,1
7.766,80,65,145,-235,-235,1
7.821,77,65,145,-235,-235,1
7.876,75,65,145,-235,-235,1
7.931,77,65,145,-235,-235,1
7.987,73,65,145,-235,-235,1
8.041,69,65,145,-235,-235,1
8.096,70,65,145,-235,-235,1
8.152,67,65,145,-235,-235,1
8.207,69,65,145,-235,-235,1
8.262,67,65,145,-235,-235,1
8.317,65,65,145,235,235,2
8.373,67,65,145,235,235,2
8.427,66,65,145,235,235,2
8.482,66,65,145,235,235,2
8.538,67,65,145,235,235,2
8.593,67,65,145,235,235,2
8.648,67,65,145,235,235,2
8.704,66,65,145,235,235,2
8.759,67,65,145,235,235,2
8.813,67,65,145,235,235,2
8.868,66,65,145,235,235,2
8.924,70,65,145,235,235,2
8.979,69,65,145,235,235,2
9.034,68,65,145,235,235,2
9.09,73,65,145,235,235,2
9.145,72,65,145,235,235,2
9.199,73,65,145,235,235,2
9.254,76,65,145,235,235,2
9.31,77,65,145,235,235,2
9.365,80,65,145,235,235,2
9.42,83,65,145,235,235,2
9.476,86,65,145,235,235,2
9.531,89,65,145,235,235,2
9.585,89,65,145,235,235,2
9.64,94,65,145,235,235,2
9.696,95,65,145,235,235,2
9.751,99,65,145,235,235,2
9.806,100,65,145,235,235,2
9.862,104,65,145,235,235,2
9.917,110,65,145,235,235,2
9.971,110,65,145,235,235,2
10.027,112,65,145,235,235,2
10.082,116,65,145,235,235,2
10.137,118,65,145,235,235,2
10.192,119,65,145,235,235,2
10.248,124,65,145,235,235,2
10.303,126,65,145,235,235,2
10.358,130,65,145,235,235,2
10.414,133,65,145,235,235,2
10.469,134,65,145,235,235,2
10.524,135,65,145,235,235,2
10.579,136,65,145,235,235,2
10.635,138,65,145,235,235,2
10.69,142,65,145,235,235,2
10.744,145,65,145,235,235,2
10.8,144,65,145,235,235,2
10.855,146,65,145,-235,-235,2
10.91,143,65,145,-235,-235,2
10.966,130,65,145,-235,-235,2
11.021,127,65,145,-235,-235,2
11.076,116,65,145,-235,-235,2
11.131,109,65,145,-235,-235,2
11.187,108,65,145,-235,-235,2
11.242,100,65,145,-235,-235,2
11.297,97,65,145,-235,-235,2
11.353,95,65,145,-235,-235,2
11.408,90,65,145,-235,-235,2
11.463,91,65,145,-235,-235,2
11.518,88,65,145,-235,-235,2
11.574,87,65,145,-235,-235,2
11.628,85,65,145,-235,-235,2
11.683,82,65,145,-235,-235,2
11.739,82,65,145,-235,-235,2
11.794,83,65,145,-235,-235,2
11.849,80,65,145,-235,-235,2
11.905,79,65,145,-235,-235,2
11.96,78,65,145,-235,-235,2
12.015,78,65,145,-235,-235,2
12.07,76,65,145,-235,-235,2
12.126,76,65,145,-235,-235,2
12.18,73,65,145,-235,-235,2
12.235,70,65,145,-235,-235,2
12.291,67,65,145,-235,-235,2
12.346,66,65,145,-235,-235,2
12.401,67,65,145,-235,-235,2
12.456,65,65,145,235,235,3
12.512,66,65,145,235,235,3
12.567,66,65,145,235,235,3
12.622,68,65,145,235,235,3
12.677,66,65,145,235,235,3
12.732,67,65,145,235,235,3
12.787,66,65,145,235,235,3
12.843,65,65,145,235,235,3
12.898,65,65,145,235,235,3
12.953,65,65,145,235,235,3
13.008,66,65,145,235,235,3
13.064,67,65,145,235,235,3
13.119,67,65,145,235,235,3
13.174,70,65,145,235,235,3
13.229,72,65,145,235,235,3
13.284,73,65,145,235,235,3
13.339,75,65,145,235,235,3
13.394,78,65,145,235,235,3
13.45,80,65,145,235,235,3
13.505,81,65,145,235,235,3
13.56,83,65,145,235,235,3
13.616,84,65,145,235,235,3
13.671,89,65,145,235,235,3
13.725,91,65,145,235,235,3
13.78,95,65,145,235,235,3
13.83,98,65,145,235,235,3
13.884,100,65,145,235,235,3
13.939,102,65,145,235,235,3
13.995,105,65,145,235,235,3
14.05,109,65,145,235,235,3
14.105,111,65,145,235,235,3
14.16,112,65,145,235,235,3
14.21,115,65,145,235,235,3
14.264,118,65,145,235,235,3
14.319,122,65,145,235,235,3
14.374,121,65,145,235,235,3
14.424,126,65,145,235,235,3
14.479,129,65,145,235,235,3
14.534,131,65,145,235,235,3
14.588,130,65,145,235,235,3
14.638,135,65,145,235,235,3
14.693,136,65,145,235,235,3
14.748,139,65,145,235,235,3
14.803,139,65,145,235,235,3
14.858,142,65,145,235,235,3
14.913,145,65,145,235,235,3
14.968,144,65,145,235,235,3
15.024,142,65,145,-235,-235,3
15.079,134,65,145,-235,-235,3
15.134,127,65,145,-235,-235,3
15.19,119,65,145,-235,-235,3
15.245,111,65,145,-235,-235,3
15.3,107,65,145,-235,-235,3
15.355,103,65,145,-235,-235,3
15.411,97,65,145,-235,-235,3
15.466,95,65,145,-235,-235,3
15.521,94,65,145,-235,-235,3
15.577,90,65,145,-235,-235,3
15.632,87,65,145,-235,-235,3
15.687,85,65,145,-235,-235,3
15.741,83,65,145,-235,-235,3
15.791,83,65,145,-235,-235,3
15.846,82,65,145,-235,-235,3
15.901,83,65,145,-235,-235,3
15.955,83,65,145,-235,-235,3
16.005,81,65,145,-235,-235,3
16.06,80,65,145,-235,-235,3
16.115,80,65,145,-235,-235,3
16.169,76,65,145,-235,-235,3
16.219,76,65,145,-235,-235,3
16.274,73,65,145,-235,-235,3
16.329,72,65,145,-235,-235,3
16.384,68,65,145,-235,-235,3
16.439,67,65,145,-235,-235,3
16.494,67,65,145,-235,-235,3
16.549,68,65,145,235,235,4
16.605,67,65,145,235,235,4
16.66,67,65,145,235,235,4
16.715,66,65,145,235,235,4
16.771,66,65,145,235,235,4
16.826,66,65,145,235,235,4
16.88,66,65,145,235,235,4
16.935,67,65,145,235,235,4
16.985,67,65,145,235,235,4
17.04,67,65,145,235,235,4
17.094,68,65,145,235,235,4
17.149,68,65,145,235,235,4
17.199,71,65,145,235,235,4
17.253,73,65,145,235,235,4
17.308,74,65,145,235,235,4
17.363,76,65,145,235,235,4
17.413,79,65,145,235,235,4
17.467,81,65,145,235,235,4
17.522,83,65,145,235,235,4
17.577,87,65,145,235,235,4
17.627,88,65,145,235,235,4
17.681,91,65,145,235,235,4
17.736,94,65,145,235,235,4
17.792,95,65,145,235,235,4
17.847,100,65,145,235,235,4
17.902,104,65,145,235,235,4
17.957,103,65,145,235,235,4
18.013,109,65,145,235,235,4
18.068,110,65,145,235,235,4
18.123,112,65,145,235,235,4
